,aring:5,aring:6,aring:7,fp:r1[C]:*#C,fp:r1[C]:*C,fp:r1[C]:*N,fp:r1[C]:*O,fp:r1[C]:C#*C,fp:r1[C]:C*#N,fp:r1[C]:C*(=N)N,fp:r1[C]:C*(=N)O,fp:r1[C]:C*(=O)O,fp:r1[C]:C*(C)(C)C,fp:r1[C]:C*(C)(C)N,fp:r1[C]:C*(C)(C)O,fp:r1[C]:C*(C)(O)O,fp:r1[C]:C*(C)=N,fp:r1[C]:C*(C)=O,fp:r1[C]:C*(C)C,fp:r1[C]:C*(C)N,fp:r1[C]:C*(C)O,fp:r1[C]:C*(N)=O,fp:r1[C]:C*(N)N,fp:r1[C]:C*(N)O,fp:r1[C]:C*(O)F,fp:r1[C]:C*(O)O,fp:r1[C]:C*=N,fp:r1[C]:C*=O,fp:r1[C]:C*C,fp:r1[C]:C*N,fp:r1[C]:C*O,fp:r1[C]:C=*(C)C,fp:r1[C]:C=*(C)N,fp:r1[C]:C=*(C)O,fp:r1[C]:C=*(N)N,fp:r1[C]:C=*(N)O,fp:r1[C]:C=*C,fp:r1[C]:C=*N,fp:r1[C]:C=*O,fp:r1[C]:N*(=O)O,fp:r1[C]:N*(N)=O,fp:r1[C]:N*(N)O,fp:r1[C]:N*(O)O,fp:r1[C]:N*=O,fp:r1[C]:N*N,fp:r1[C]:N*O,fp:r1[C]:N=*(N)N,fp:r1[C]:N=*(N)O,fp:r1[C]:N=*N,fp:r1[C]:N=*O,fp:r1[C]:O*O,fp:r1[C]:O=*(O)O,fp:r1[C]:O=*=O,fp:r1[C]:O=*O,fp:r1[F]:*C,fp:r1[N]:*#C,fp:r1[N]:*=C,fp:r1[N]:*C,fp:r1[N]:*N,fp:r1[N]:C*(C)C,fp:r1[N]:C*C,fp:r1[N]:C*N,fp:r1[N]:C=*C,fp:r1[N]:C=*N,fp:r1[N]:C=*O,fp:r1[N]:N*N,fp:r1[O]:*=C,fp:r1[O]:*C,fp:r1[O]:*N,fp:r1[O]:C*C,fp:r1[O]:C*N,fp:r1[c]:C*(n)n,fp:r1[c]:C*(n)o,fp:r1[c]:N=*(n)n,fp:r1[c]:c*(C)n,fp:r1[c]:c*(C)o,fp:r1[c]:c*(N)o,fp:r1[c]:c*(c)=N,fp:r1[c]:c*(c)=O,fp:r1[c]:c*(c)C,fp:r1[c]:c*(c)F,fp:r1[c]:c*(c)N,fp:r1[c]:c*(c)O,fp:r1[c]:c*(c)n,fp:r1[c]:c*(c)o,fp:r1[c]:c*(n)=O,fp:r1[c]:c*(n)F,fp:r1[c]:c*(n)N,fp:r1[c]:c*(n)O,fp:r1[c]:c*(n)n,fp:r1[c]:c*(o)O,fp:r1[c]:c*c,fp:r1[c]:c*n,fp:r1[c]:c*o,fp:r1[c]:n*(=O)o,fp:r1[c]:n*(N)o,fp:r1[c]:n*(n)N,fp:r1[c]:n*(o)O,fp:r1[c]:n*n,fp:r1[c]:n*o,fp:r1[n]:C*(n)n,fp:r1[n]:c*(C)n,fp:r1[n]:c*(c)C,fp:r1[n]:c*(n)n,fp:r1[n]:c*c,fp:r1[n]:c*n,fp:r1[n]:c*o,fp:r1[n]:n*n,fp:r1[n]:n*o,fp:r1[o]:c*c,fp:r1[o]:c*n,fp:r1[o]:n*n,atom:C,atom:F,atom:N,atom:O,ring:3,ring:4,ring:5,ring:6,ring:7
QM9[67509],0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,2,1,0,0,0
QM9[108872],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,1,0
QM9[60194],0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,1,0,0,0,0
QM9[49022],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,1,2,0,0,0
QM9[32264],0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,2,2,0,0,0,1,0
QM9[123635],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,3,0,1,0,2,0,0
QM9[34924],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,2,0,1,0,0
QM9[107808],0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,1,1,1,0,0
QM9[42372],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,1,0,0,0,0
QM9[6595],0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,3,0,0,0
